country,city,company_name,type,contact_name,contact_role,email,phone,website,linkedin_company,linkedin_contact,investment_focus,geographic_focus,estimated_ticket,italy_interest,luxury_real_estate,hospitality_interest,fit_score,verification_status,source_1,source_2,notes,last_verified
United Arab Emirates,Dubai,Knight Frank UAE,luxury_agency,Nicholas Spencer,Partner - Head of Prime Residential; Private Capital & Family Enterprises MENA,privateoffice@knightfrank.com,+971 4 451 2000,https://www.knightfrank.ae,https://www.linkedin.com/company/knightfrankmena,https://www.linkedin.com/in/nicholas-spencer-846466b8,Prime and super-prime residential; private capital and family-office advisory; international project sales,"UAE and GCC, with international sales into the UK and other prime markets",unknown,unclear,yes,unclear,8,verified,https://www.knightfrank.ae/contact/people/nicholas-spencer-aeme276,https://www.knightfrank.ae/en/residential/international-project-sales,"Official Knight Frank UAE people page confirms Spencer as Partner and Head of Prime Residential advising private clients and family offices on prime property across the UK and Gulf. International Project Sales page states the Dubai team facilitates interest in the UK, Europe and other prime global markets. Direct people-page email is not published; Private Office email is taken from Knight Frank's official Private Office materials. Dubai HQ: Media One Tower, Dubai Media City. Direct lines published for Spencer: +971 4 426 7640 / +971 54 584 4365.",2026-08-27
United Arab Emirates,Dubai,Savills Middle East,luxury_agency,Andrew Cummings,"Head of Residential Agency, Middle East",international@savills.me,+971 4 365 7700,https://www.savills.me,https://www.linkedin.com/company/savillsmiddleeast,https://www.linkedin.com/in/ancummings,"Prime and branded residential agency, international residential marketing and cross-border private-client sales","UAE (Dubai, Abu Dhabi) and wider Middle East, with London/international residential distribution",unknown,unclear,yes,unclear,8,verified,https://www.savills.co.uk/insight-and-opinion/savills-news/382799/savills-presents-london-and-dubai-s-most-exclusive-residences-at-cityscape-global-riyadh,https://dubai.savills.ae/forms/contact-office.aspx?id=241187-0,"Official Savills press release publishes international@savills.me and +971 4 365 7799 for Middle East international residential enquiries. Dubai office contact page lists 22nd floor, Arenco Tower, Sheikh Zayed Road, +971 4 365 7700. Cummings is publicly identified as Head of Residential Agency Middle East; personal email not used because it was not confirmed on a Savills domain page. Privacy policy also publishes dubai@savills.me as a general Dubai address.",2026-08-27
United Arab Emirates,Dubai,Christie's International Real Estate Dubai,luxury_agency,Jackie Johns,Managing Partner,info@christiesrealestatedubai.com,+971 4 585 9074,https://www.christiesrealestatedubai.com,https://www.linkedin.com/company/ciredxb,https://www.linkedin.com/in/jackie-johns-75048122,UHNW and trophy residential; Private Office off-market advisory; global luxury referrals across the Christie's International Real Estate network,"Dubai, Abu Dhabi and Ras Al Khaimah, with affiliate coverage in 50+ countries including European luxury markets",unknown,unclear,yes,unclear,8,verified,https://www.christiesrealestatedubai.com/the-journal/new-office-opening-in-media-city/,https://www.christiesrealestatedubai.com/enquiries/,"Official July 2025 company announcement names Jackie Johns and Dinesh Chhatwani as Managing Partners and publishes +971 4 585 9074 and info@christiesrealestatedubai.com. Firm describes a Private Office for UHNW trophy assets and a multilingual agent base with access to rare real estate worldwide. Offices: DIFC, Bay Square, World Trade Centre and Dubai Media City. Company LinkedIn also publishes privateoffice@ciredubai.com for the Private Office desk; the website enquiry email is used here because it is on the official domain.",2026-08-27
United Arab Emirates,Dubai,Dubai Sotheby's International Realty,luxury_agency,Chris Whitehead,Managing Partner,,+971 4 455 0896,https://sothebysrealty.ae,https://www.linkedin.com/company/dubaisothebysinternationalrealty,https://www.linkedin.com/in/chwhitehead,Super-prime and blue-chip residential; private-client advisory; international Sotheby's International Realty referrals,"Dubai flagship, with group leadership also covering KSA and the UK super-prime markets",unknown,unclear,yes,unclear,8,partially_verified,https://sothebysrealty.ae/management/chris-whitehead/,https://sothebysrealty.ae/contact-us/,"Official management page confirms Chris Whitehead as Managing Partner for the Dubai flagship, positioned in regional and international private-client markets. Contact page publishes +971 4 455 0896 and WhatsApp +971 50 816 1409; the only email on that page is pr@sothebysrealty.ae (PR), so sales email is left empty. Head office: EMAAR Business Park, Building 4, Sheikh Zayed Road. Group Chairman & CEO George Azar publicly comments on UAE/UK/KSA ultra-prime acquisitions; personal emails not published.",2026-08-27
United Arab Emirates,Abu Dhabi,Abu Dhabi Sotheby's International Realty,luxury_agency,,,customercare@abudhabi-sothebysrealty.ae,+971 4 455 0860,https://abudhabi-sothebysrealty.ae,https://www.linkedin.com/company/abudhabi-sothebys-international-realty,,Luxury residential sales and international Sotheby's International Realty referrals for Abu Dhabi private clients,"Abu Dhabi, with access to the global Sotheby's International Realty network",unknown,unclear,yes,unclear,8,verified,https://abudhabi-sothebysrealty.ae/en/contact-us,https://www.linkedin.com/company/abudhabi-sothebys-international-realty,"Official contact page lists Office 610, Dar Al Salam Tower, Corniche Street, Al Danah, Abu Dhabi; customercare@abudhabi-sothebysrealty.ae; +971 4 455 0860; WhatsApp +971 54 727 9623. Separate affiliate from the Dubai Sotheby's office. Named Abu Dhabi decision-maker not published on the contact page.",2026-08-27
United Arab Emirates,Dubai,Engel & Völkers Dubai,luxury_agency,Daniel Abdul Hadi,CEO Middle East,dubai@engelvoelkers.com,+971 4 422 3500,https://www.engelvoelkers.com/ae/en,https://www.linkedin.com/company/engel&voelkers-dubai,https://www.linkedin.com/in/danielhadi,"Luxury homes, villas and investment properties; Private Office off-market advisory with global Engel & Völkers referrals","Dubai, Abu Dhabi and Ras Al Khaimah, connected to Engel & Völkers shops across Europe including Italy",unknown,yes,yes,unclear,8,verified,https://www.engelvoelkers.com/ae/en/imprint,https://www.engelvoelkers.com/ae/en/shops/dubai-private-office,"Official imprint names Engel and Voelkers Real Estate LLC, Al Khail Plaza Floor 7, Jumeirah Village Triangle; CEO Middle East Daniel Abdul Hadi; dubai@engelvoelkers.com; +971 4 422 3500; RERA 16081. Private Office shop page states exclusive off-market luxury advisory in Dubai and worldwide via the global network. Italy interest is via the brand's Italian shop network, not a published Dubai-to-Amalfi mandate.",2026-08-27
United Arab Emirates,Dubai,BARNES Dubai,luxury_agency,,,,+971 4 449 1087,https://www.barnes-international.com/en/contact/united-arab-emirates/barnes-dubai.html,https://www.linkedin.com/company/barnes-dubai,,Ultra-luxury residential; international private-client referrals; art-de-vivre and lifestyle assets through the BARNES network,"Dubai as Middle East HQ, with BARNES offices across France, Italy and other European luxury destinations",unknown,yes,yes,unclear,8,partially_verified,https://www.barnes-international.com/it/contatto/emirati-arabi-uniti/barnes-dubai.html,https://www.zawya.com/en/press-release/companies-news/barnes-international-establishes-strategic-partnership-with-dubai-land-department-bm1k8pxq,"Official BARNES International agency page lists Emaar Square, Building 4, Office 703, Downtown Dubai. Zawya press release states BARNES Dubai is the first Middle Eastern branch and regional HQ; media email marketing.dubai@barnes-international.com is press-only so sales email is left empty. Company LinkedIn publishes +971 4 449 1087. Strong fit because BARNES operates Italian offices and a UHNW European client network; named Dubai MD not published on the agency page.",2026-08-27
United Arab Emirates,Dubai,John Taylor Dubai,luxury_agency,Andrew Cleator,"Managing Director, Middle East",dubai@john-taylor.com,+971 4 451 6543,https://john-taylor.ae,https://www.linkedin.com/company/john-taylor-dubai-uae,https://www.linkedin.com/in/andrew-cleator-1059a33,Prime and super-prime residential sales for international UHNW clients,"Dubai, connected to John Taylor offices in Monaco, the French Riviera, Milan and other European luxury markets",unknown,yes,yes,unclear,9,verified,https://john-taylor.ae/en/contact,https://www.john-taylor.com/luxury-real-estate-agency/dubai/,"Official Dubai contact page lists Office 1607, Sidra Tower, Sheikh Zayed Road; +971 4 451 6543; dubai@john-taylor.com. John Taylor (Dassault Artcurial Group) has a 150-year Riviera luxury-agency heritage and publicly lists Milan among its offices. Company LinkedIn announced Andrew Cleator as Managing Director for the Middle East in 2026; previously Associate Partner at Knight Frank MENA and Managing Director at Luxhabitat Sotheby's International Realty. Highest agency fit for an Amalfi Coast trophy home because of the Italian/Riviera network plus a Dubai UHNW desk.",2026-08-27
United Arab Emirates,Dubai,Fine & Country Dubai Invest,luxury_agency,Simon Pitkin,CEO,dubai.invest@fineandcountry.com,+971 55 114 8943,https://www.fineandcountry.ae/dubai-invest-estate-agents,,,Premium and investment residential; international Fine & Country referrals,"Dubai, with Fine & Country offices in Italy and other European markets",unknown,yes,yes,unclear,8,verified,https://www.fineandcountry.ae/dubai-invest-estate-agents/contact,https://www.fineandcountry.ae/legal-notice-impressum,"Official contact page lists Simon Pitkin as CEO; dubai.invest@fineandcountry.com; sales +971 55 114 8943; CEO mobile +971 50 314 0071. Registered as Roman Realty L.L.C. trading as Fine & Country Dubai Invest, Office 1103-10, The One Tower, Barsha Heights. Fine & Country's UAE site includes Italy in its country network, supporting cross-border introductions. Separate Palm Jumeirah Fine & Country office exists; this row is the investment-focused Dubai office.",2026-08-27
United Arab Emirates,Dubai,LuxuryProperty.com,luxury_agency,Jason Hayes,Founder and Chairman,hello@luxuryproperty.com,+971 4 563 5900,https://www.luxuryproperty.com,https://www.linkedin.com/company/luxury-property-com,https://www.linkedin.com/in/jasonhayes-luxuryproperty,"Luxury residential brokerage plus a global marketplace for branded residences, hospitality assets and other high-value lifestyle assets",Dubai HQ with published offices in London Mayfair and New York,unknown,unclear,yes,yes,7,verified,https://www.luxuryproperty.com/contact,https://www.luxuryproperty.com/team/jason_hayes,"Official contact schema publishes hello@luxuryproperty.com, +971 4 563 5900 and 204 Bay Square 2, Business Bay, Dubai. Founder/Chairman Jason Hayes is named on the official team page. Business mixes brokerage with a luxury marketplace; included because it markets exceptional real estate and hospitality assets to HNW/UHNW buyers from a Dubai base, not as a mass portal.",2026-08-27
